,question,answer,context
913,Tiền tạm ứng chi phí định giá tài sản được sử dụng cho mục đích gì?,"Tiền tạm ứng chi phí định giá tài sản được sử dụng để chi trả cho công việc định giá tài sản, theo quyết định của Tòa án."
274,Khi nào Hội đồng xét xử phúc thẩm có quyền sửa bản án sơ thẩm?,Hội đồng xét xử phúc thẩm có quyền sửa bản án sơ thẩm khi có sai sót hoặc không rõ ràng trong bản án đó.
1812,Khi nào người yêu cầu Tòa án phải gửi đơn yêu cầu?,Người yêu cầu Tòa án phải gửi đơn yêu cầu cùng với các tài liệu và chứng cứ liên quan vào thời điểm yêu cầu xét tính hợp pháp của cuộc đình công.
1749,"Viện kiểm sát có thẩm quyền yêu cầu và kiến nghị đối với những tổ chức và cá nhân nào trong việc giải quyết khiếu nại, tố cáo?","Viện kiểm sát có thẩm quyền yêu cầu và kiến nghị đối với Tòa án cùng cấp và cấp dưới, cơ quan, tổ chức và cá nhân có trách nhiệm để bảo đảm việc giải quyết khiếu nại, tố cáo có căn cứ, đúng pháp luật."
318,Điều gì xác định thời điểm người tham gia tranh luận có quyền đáp lại ý kiến của người khác?,Thời điểm người tham gia tranh luận có quyền đáp lại ý kiến của người khác xác định bởi khi phát biểu về đánh giá chứng cứ hoặc đề xuất quan điểm về việc giải quyết vụ án trong phiên tòa.
1054,Điều 180 của luật nói về thủ tục gì liên quan đến phương tiện thông tin đại chúng?,"Điều 180 của luật nói về thủ tục thông báo trên phương tiện thông tin đại chúng. Nó đề cập đến việc khi pháp luật yêu cầu hoặc có căn cứ xác định rằng việc niêm yết công khai không đảm bảo cho người được cấp, tống đạt, hoặc thông báo nhận được thông tin về văn bản cần được cấp, tống đạt, hoặc thông báo, thì thông báo này phải được thực hiện trên phương tiện thông tin đại chúng."
1328,Quyết định của Tòa án tại phiên tòa phúc thẩm có hiệu lực ngay sau phiên tòa không?,"Quyết định của Tòa án tại phiên tòa phúc thẩm có hiệu lực pháp luật theo quy định của pháp luật, thường là ngay sau phiên tòa hoặc theo quy định cụ thể của vụ án."
569,Điều 121 của Bộ luật quy định điều gì về cấm chuyển dịch quyền về tài sản đối với tài sản đang tranh chấp?,Điều 121 quy định rằng cấm chuyển dịch quyền về tài sản đối với tài sản đang tranh chấp được áp dụng trong trường hợp có căn cứ cho thấy người đang chiếm hữu hoặc giữ tài sản đang tranh chấp có hành vi chuyển dịch quyền về tài sản đối với tài sản đang tranh chấp cho người khác.
627,"Nếu đơn đề nghị xem xét bản án, quyết định được gửi bởi tổ chức là doanh nghiệp, việc sử dụng con dấu được thực hiện như thế nào?","Nếu đơn đề nghị xem xét bản án, quyết định được gửi bởi tổ chức là doanh nghiệp, việc sử dụng con dấu được thực hiện theo quy định của Luật doanh nghiệp."
39,Người phiên dịch có nghĩa vụ gì khi tham gia phiên tòa?,"Điều 239: Yêu cầu người giám định, người phiên dịch cam kết cung cấp kết quả giám định chính xác, phiên dịch đúng nội dung cần phiên dịch."
1895,Thông báo tìm kiếm người vắng mặt tại nơi cư trú phải chứa những thông tin gì?,"Thông báo tìm kiếm người vắng mặt tại nơi cư trú phải chứa thông tin về ngày, tháng, năm ra thông báo, tên Tòa án ra thông báo, số và ngày, tháng, năm của quyết định thông báo tìm kiếm, tên, địa chỉ của người yêu cầu Tòa án thông báo, họ, tên và ngày, tháng, năm sinh hoặc tuổi của người cần tìm kiếm, và địa chỉ cư trú của người đó trước khi biệt tích."
999,Tòa án cấp phúc thẩm có trách nhiệm gì sau khi nhận hồ sơ vụ án từ Tòa án cấp sơ thẩm?,Tòa án cấp phúc thẩm có trách nhiệm xem xét lại hồ sơ vụ án và quyết định về việc giải quyết kháng cáo hoặc kháng nghị.
1453,Khi nào Tòa án gửi quyết định đình chỉ giải quyết vụ án dân sự cho đương sự và các bên liên quan?,"Trong thời hạn 03 ngày làm việc, kể từ ngày ra quyết định đình chỉ giải quyết vụ án dân sự, Tòa án phải gửi quyết định đó cho đương sự, cơ quan, tổ chức, cá nhân khởi kiện và Viện kiểm sát cùng cấp."
753,Thẩm phán trả lại đơn khởi kiện trong trường hợp nào?,"Thẩm phán trả lại đơn khởi kiện và tài liệu, chứng cứ kèm theo cho người khởi kiện nếu họ không sửa đổi, bổ sung theo yêu cầu."
465,"Trường hợp Thẩm phán không thể công nhận thuận tình ly hôn và thỏa thuận của hai bên, việc giải quyết sẽ được xử lý thế nào?","Trường hợp Thẩm phán không thể công nhận thuận tình ly hôn và thỏa thuận của hai bên, việc giải quyết sẽ được xử lý theo quy định của Điều 212 của Bộ luật và có thể điều tra thêm về hoàn cảnh gia đình và nguyên nhân phát sinh mâu thuẫn."
330,Tại sao phạm vi áp dụng việc dân sự quan trọng trong lĩnh vực pháp lý?,"Phạm vi áp dụng việc dân sự quan trọng trong lĩnh vực pháp lý để xác định quyền và nghĩa vụ dân sự, tạo điều kiện cho giải quyết các tranh chấp và quyết định vụ án một cách công bằng và hợp pháp."
81,"Có trường hợp nào mà tranh chấp kinh doanh, thương mại có thể giải quyết bằng cách khác không?","Trong trường hợp tranh chấp kinh doanh, thương mại, có thể có các phương pháp giải quyết ngoài việc đưa ra tòa án, như đàm phán hoặc trọng tài, tùy thuộc vào thỏa thuận giữa các bên li"
1601,Ai là những đương sự cần nhận được thông báo văn bản tố tụng từ Tòa án?,Những đương sự cần nhận thông báo văn bản tố tụng từ Tòa án bao gồm các bên tham gia tố tụng và những người tham gia tố tụng khác.
1254,Thời hiệu yêu cầu giải quyết việc dân sự được tính từ khi nào?,"Thời hiệu yêu cầu giải quyết việc dân sự được tính từ khi Tòa án cấp sơ thẩm ra bản án, quyết định giải quyết vụ việc."
428,Ai là người đại diện hợp pháp của nguyên đơn trong trường hợp xét xử vắng mặt?,Người đại diện hợp pháp của nguyên đơn có thể là nguyên đơn chính họ hoặc người được ủy quyền hợp pháp để đại diện trong quá trình tố tụng.
1223,"Điều 109 của Luật tố tụng dân sự quy định gì về công bố và sử dụng tài liệu, chứng cứ?","Điều 109 của Luật tố tụng dân sự quy định về việc công bố và sử dụng tài liệu, chứng cứ trong tố tụng dân sự."
575,Người đang chiếm hữu tài sản đang tranh chấp có thể làm gì để tuân thủ quy định cấm chuyển dịch quyền?,Người đang chiếm hữu tài sản đang tranh chấp cần tuân thủ quy định cấm chuyển dịch quyền và không được chuyển dịch tài sản cho người khác trong thời hạn quy định.
832,Có bất kỳ trường hợp nào mà Tòa án Việt Nam tự động công nhận bản án của Tòa án nước ngoài mà không cần kiểm tra?,Tòa án Việt Nam thường không tự động công nhận bản án của Tòa án nước ngoài mà luôn cần kiểm tra để đảm bảo rằng nó tuân theo quy định của Điều 427 và các quy định liên quan trong Bộ luật Dân sự Việt Nam.
1033,Thủ tục giải quyết tố cáo có thể kéo dài trong thời gian bao lâu?,"Thời gian thủ tục giải quyết tố cáo có thể kéo dài tùy thuộc vào tính phức tạp của việc điều tra và quy định của pháp luật, nhưng nó cố gắng hoàn thành một cách nhanh chóng để đảm bảo tính công bằng trong việc giải quyết."
1034,"Điều 248 của Bộ luật nói về trình bày của đương sự, người bảo vệ quyền và lợi ích hợp pháp của đương sự trong trường hợp nào?","Điều 248 của Bộ luật nói về trình bày của đương sự, người bảo vệ quyền và lợi ích hợp pháp của đương sự trong trường hợp có xung đột về việc giải quyết vụ án và các đương sự không tự thoả thuận được về việc giải quyết vụ án."
287,"Trong thời hạn bao lâu kể từ ngày ra quyết định mở phiên họp, Tòa án phải mở phiên họp để xét đơn yêu cầu?","Trong thời hạn 15 ngày, kể từ ngày ra quyết định mở phiên họp, Tòa án phải mở phiên họp để xét đơn yêu cầu."
1000,Người kháng cáo có quyền yêu cầu gì sau khi đã nộp biên lai thu tiền tạm ứng án phí phúc thẩm?,"Sau khi đã nộp biên lai thu tiền tạm ứng án phí phúc thẩm, người kháng cáo có quyền yêu cầu tiếp tục quá trình giải quyết vụ án."
1001,Tại sao việc gửi hồ sơ vụ án và tiếp tục quá trình giải quyết kháng cáo quan trọng?,Việc gửi hồ sơ vụ án và tiếp tục quá trình giải quyết kháng cáo đảm bảo rằng tất cả các bên liên quan có cơ hội để kiểm tra lại quyết định và đảm bảo công bằng trong quá trình pháp lý.
1566,Tòa án quyết định hoãn phiên tòa dựa trên tiêu chí gì?,"Tòa án quyết định hoãn phiên tòa dựa trên tiêu chí được quy định trong Bộ luật và quy tắc tố tụng. Tiêu chí này có thể bao gồm sự vắng mặt của người tham gia tố tụng, tính khách quan của lý do vắng mặt, và xem xét lợi ích của tất cả các bên liên quan."
1887,Thời hạn mở phiên họa giải phải là bao lâu kể từ ngày ra văn bản thông báo thụ lý vụ án?,"Thời hạn mở phiên họa giải phải là sớm nhất là 06 tháng và chậm nhất là 08 tháng, kể từ ngày ra văn bản thông báo thụ lý vụ án."
1707,"Khi nào người được thi hành án có quyền yêu cầu giải thích, sửa chữa bản án, quyết định của Tòa án?","Người được thi hành án có quyền yêu cầu giải thích, sửa chữa bản án, quyết định của Tòa án khi họ cảm thấy có những điểm chưa rõ trong bản án, quyết định và muốn được làm rõ hoặc sửa đổi."
1731,"Ngoài việc xét xử vụ án dân sự, Thẩm phán còn có vai trò gì khác theo Điều 12?","Theo Điều 12, Thẩm phán không chỉ thực hiện việc xét xử vụ án dân sự mà còn giải quyết việc dân sự độc lập và chỉ tuân theo pháp luật. Điều này đảm bảo tính công bằng và độc lập trong quyết định các vấn đề dân sự."
208,Hội đồng xét xử sơ thẩm và Hội đồng xét xử phúc thẩm có điểm gì khác biệt?,Hội đồng xét xử sơ thẩm và Hội đồng xét xử phúc thẩm có điểm khác biệt về cấu trúc thành viên và vai trò trong việc xét xử vụ án.
1074,Có quy định nào về việc thông báo chi phí cho người phiên dịch hoặc luật sư?,Thông tin về chi phí cho người phiên dịch hoặc luật sư thường được đưa ra trong thoả thuận ban đầu hoặc theo quy định của tổ chức hành nghề luật sư. Đương sự thường được thông báo trước về các khoản chi phí dự kiến.
690,Người kháng cáo có quyền nộp tiền tạm ứng án phí phúc thẩm sau khi hết thời hạn 10 ngày không?,"Sau khi hết thời hạn 10 ngày, người kháng cáo có thể nộp tiền tạm ứng án phí phúc thẩm, nhưng phải nêu rõ lý do chậm nộp."
1334,Thời hạn xem xét lại bản án theo thủ tục giám đốc thẩm là bao lâu?,Thời hạn xem xét lại bản án theo thủ tục giám đốc thẩm không được quy định cụ thể trong Điều 327 và có thể thay đổi tùy theo tình huống cụ thể của vụ án.
1866,Tòa án đã ra quyết định công nhận và cho thi hành tại Việt Nam phán quyết của Trọng tài nước ngoài có thể ra quyết định tạm đình chỉ thi hành phán quyết trong trường hợp nào?,Tòa án đã ra quyết định công nhận và cho thi hành tại Việt Nam phán quyết của Trọng tài nước ngoài có thể ra quyết định tạm đình chỉ thi hành phán quyết trong trường hợp có thông báo bằng văn bản từ cơ quan có thẩm quyền của nước ngoài về việc đang xem xét yêu cầu hủy bỏ hoặc đình chỉ thi hành phán quyết của Trọng tài nước ngoài từ đương sự hoặc Bộ Tư pháp.
1442,Ngày hết thời hạn biện pháp khẩn cấp tạm thời được tính từ khi nào?,"Ngày hết thời hạn biện pháp khẩn cấp tạm thời được tính từ ngày ra quyết định áp dụng, thay đổi, hủy bỏ biện pháp khẩn cấp tạm thời."
899,Thông báo tìm kiếm người vắng mặt tại nơi cư trú được đăng trên báo mấy lần và trong thời gian bao lâu?,"Thông báo tìm kiếm người vắng mặt tại nơi cư trú phải được đăng trên một trong các báo hàng ngày của trung ương trong ba số liên tiếp. Ngoài ra, thông báo cũng phải được phát sóng trên Đài phát thanh hoặc Đài truyền hình của trung ương ba lần trong 03 ngày liên tiếp. Thời hạn đăng thông báo là 01 tháng, kể từ ngày Tòa án ra quyết định thông báo."
1609,Người kháng cáo có trách nhiệm gửi văn bản nào khi không nộp biên lai thu tiền tạm ứng án phí phúc thẩm kịp thời?,Người kháng cáo trong trường hợp không nộp biên lai thu tiền tạm ứng án phí phúc thẩm kịp thời cần có văn bản trình bày lý do chậm nộp biên lai thu tiền tạm ứng án phí phúc thẩm nộp cho Tòa án cấp sơ thẩm để đưa vào hồ sơ vụ án.
433,Ai là người chủ trì phiên họp kiểm tra?,"Thẩm phán chủ trì phiên họp kiểm tra việc giao nộp, tiếp cận, công khai chứng cứ và hòa giải."
1260,Hội thẩm nhân dân có quyền làm gì trong quy trình xét xử vụ án dân sự?,"Hội thẩm nhân dân có quyền tham gia vào việc biểu quyết về quyết định giải quyết vụ án dân sự, và quyền này ngang ngửa với Thẩm phán. Họ có vai trò quan trọng trong đảm bảo tính công bằng của quy trình xét xử."
268,"Nếu bị đơn có yêu cầu phản tố, người có quyền lợi liên quan có yêu cầu độc lập không nộp tiền tạm ứng, Tòa án sẽ xử lý như thế nào?",Tòa án sẽ đình chỉ việc giải quyết yêu cầu phản tố của bị đơn và yêu cầu độc lập của người có quyền lợi liên quan trong trường hợp này.
397,Điều 183 của luật áp dụng quy định gì về thời hạn tố tụng?,"Điều 183 quy định áp dụng quy định của Bộ luật dân sự về thời hạn tố tụng, cụ thể là các quy định về cách tính thời hạn, thời hạn tố tụng, và thời điểm bắt đầu, kết thúc thời hạn tố tụng."
1195,Có quy định nào về thời hạn kháng cáo đối với vụ án ly hôn không?,Điều 273 không đề cập cụ thể đến thời hạn kháng cáo đối với vụ án ly hôn. Thời hạn có thể được quy định trong các quy định khác của pháp luật.
785,Người khiếu nại cần phải gửi điều gì kèm theo đơn khiếu nại lần hai?,Đơn khiếu nại lần hai cần kèm theo bản sao quyết định giải quyết khiếu nại lần đầu và các tài liệu kèm theo.
1747,Điều 515 quy định về việc gì trong tố tụng dân sự?,"Điều 515 quy định về việc kiểm sát việc tuân theo pháp luật trong việc giải quyết khiếu nại, tố cáo trong tố tụng dân sự."
1730,"Theo Điều 12, Thẩm phán và Hội thẩm nhân dân có quyền tự do trong việc xét xử vụ án dân sự hay không?","Theo Điều 12, Thẩm phán và Hội thẩm nhân dân có quyền tự do và độc lập trong việc xét xử vụ án dân sự. Họ không phải chịu sự can thiệp của cơ quan, tổ chức, hoặc cá nhân nào và chỉ tuân theo pháp luật."
1465,Điều 149 của pháp luật nêu rõ về nghĩa vụ chịu lệ phí trong trường hợp nào?,Điều 149 quy định về nghĩa vụ chịu lệ phí trong các trường hợp dân sự cụ thể và theo quy định của pháp luật.
319,Người tham gia tranh luận có nghĩa vụ gì khi đáp lại ý kiến của người khác trong phiên tòa?,"Khi đáp lại ý kiến của người khác trong phiên tòa, người tham gia tranh luận có nghĩa vụ phải làm điều đó một cách trung thực và căn cứ vào tài liệu và chứng cứ đã được xem xét tại phiên tòa."
